"work_year","experience_level","employment_type","job_title","job_category","salary_in_usd","employee_residence","company_location","remote_ratio","company_size"
"2020","MI","FT","Data Scientist","Data Scientist",79833,"DE","DE",0,"L"
"2020","SE","FT","Machine Learning Scientist","Research Scientist",260000,"JP","JP",0,"S"
"2020","SE","FT","Big Data Engineer","Big Data Engineer",109024,"GB","GB",0,"M"
"2020","MI","FT","Product Data Analyst","Data Analyst",20000,"HN","HN",0,"S"
"2020","SE","FT","Machine Learning Engineer","ML Engineer",150000,"US","US",0,"L"
"2020","EN","FT","Data Analyst","Data Analyst",72000,"US","US",0,"L"
"2020","SE","FT","Lead Data Scientist","Data Scientist",190000,"US","US",0,"S"
"2020","MI","FT","Data Scientist","Data Scientist",35735,"HU","HU",0,"L"
"2020","MI","FT","Business Data Analyst","BI Analyst",135000,"US","US",0,"L"
"2020","SE","FT","Lead Data Engineer","Data Engineer",125000,"NZ","NZ",0,"S"
"2020","EN","FT","Data Scientist","Data Scientist",51321,"FR","FR",0,"S"
"2020","MI","FT","Data Scientist","Data Scientist",40481,"IN","IN",0,"L"
"2020","EN","FT","Data Scientist","Data Scientist",39916,"FR","FR",0,"M"
"2020","MI","FT","Lead Data Analyst","Data Analyst",87000,"US","US",0,"L"
"2020","MI","FT","Data Analyst","Data Analyst",85000,"US","US",0,"L"
"2020","MI","FT","Data Analyst","Data Analyst",8000,"PK","PK",0,"L"
"2020","EN","FT","Data Engineer","Data Engineer",41689,"JP","JP",0,"S"
"2020","SE","FT","Big Data Engineer","Big Data Engineer",114047,"PL","GB",0,"S"
"2020","EN","FT","Data Science Consultant","Data Scientist",5707,"IN","IN",0,"M"
"2020","MI","FT","Lead Data Engineer","Data Engineer",56000,"PT","US",0,"M"
"2020","MI","FT","Machine Learning Engineer","ML Engineer",43331,"CN","CN",0,"M"
"2020","MI","FT","Product Data Analyst","Data Analyst",6072,"IN","IN",0,"L"
"2020","SE","FT","Data Engineer","Data Engineer",47899,"GR","GR",0,"L"
"2020","MI","FT","BI Data Analyst","BI Analyst",98000,"US","US",0,"M"
"2020","MI","FT","Lead Data Scientist","Data Scientist",115000,"AE","AE",0,"L"
"2020","EX","FT","Director of Data Science","Data Scientist",325000,"US","US",0,"L"
"2020","EN","FT","Research Scientist","Research Scientist",42000,"NL","NL",0,"L"
"2020","SE","FT","Data Engineer","Data Engineer",33511,"MX","MX",0,"S"
"2020","EN","CT","Business Data Analyst","BI Analyst",100000,"US","US",0,"L"
"2020","SE","FT","Machine Learning Manager","ML Engineer",117104,"CA","CA",0,"L"
"2020","MI","FT","Data Engineering Manager","Data Engineer",59303,"DE","DE",0,"S"
"2020","EN","FT","Big Data Engineer","Big Data Engineer",70000,"US","US",0,"L"
"2020","SE","FT","Data Scientist","Data Scientist",68428,"GR","US",0,"L"
"2020","MI","FT","Research Scientist","Research Scientist",450000,"US","US",0,"M"
"2020","MI","FT","Data Analyst","Data Analyst",46759,"FR","FR",0,"L"
"2020","MI","FT","Data Engineer","Data Engineer",74130,"AT","AT",0,"L"
"2020","MI","FT","Data Science Consultant","Data Scientist",103000,"US","US",0,"L"
"2020","EN","FT","Machine Learning Engineer","ML Engineer",250000,"US","US",0,"L"
"2020","EN","FT","Data Analyst","Data Analyst",10000,"NG","NG",100,"S"
"2020","EN","FT","Machine Learning Engineer","ML Engineer",138000,"US","US",0,"S"
"2020","MI","FT","Data Scientist","Data Scientist",45760,"PH","US",0,"S"
"2020","EX","FT","Data Engineering Manager","Data Engineer",79833,"ES","ES",0,"L"
"2020","MI","FT","Machine Learning Infrastructure Engineer","ML Engineer",50180,"PT","PT",0,"M"
"2020","MI","FT","Data Engineer","Data Engineer",106000,"US","US",0,"L"
"2020","MI","FT","Data Engineer","Data Engineer",112872,"GB","GB",0,"L"
"2020","EN","PT","ML Engineer","ML Engineer",15966,"DE","DE",0,"S"
"2020","MI","FT","Data Scientist","Data Scientist",76958,"GB","GB",0,"S"
"2020","SE","FT","Data Engineer","Data Engineer",188000,"US","US",0,"L"
"2020","MI","FT","Data Scientist","Data Scientist",105000,"US","US",0,"L"
"2020","MI","FT","Data Engineer","Data Engineer",70139,"FR","FR",100,"L"
"2020","EN","FT","Data Analyst","Data Analyst",6072,"IN","IN",100,"S"
"2020","EN","FT","Data Analyst","Data Analyst",91000,"US","US",0,"L"
"2020","EN","FT","AI Scientist","AI Engineer",45896,"DK","DK",100,"S"
"2020","EN","FT","Data Engineer","Data Engineer",54742,"PK","DE",0,"L"
"2020","SE","FL","Computer Vision Engineer","ML Engineer",60000,"RU","US",0,"S"
"2020","SE","FT","Principal Data Scientist","Data Scientist",148261,"DE","DE",0,"M"
"2020","MI","FT","Data Scientist","Data Scientist",38776,"ES","ES",0,"M"
"2020","MI","FT","Data Scientist","Data Scientist",118000,"US","US",0,"M"
"2020","SE","FT","Data Scientist","Data Scientist",120000,"US","US",0,"L"
"2020","MI","FT","Data Scientist","Data Scientist",138350,"US","US",0,"M"
"2020","MI","FT","Data Engineer","Data Engineer",110000,"US","US",0,"L"
"2020","MI","FT","Data Engineer","Data Engineer",130800,"ES","US",0,"M"
"2020","EN","PT","Data Scientist","Data Scientist",21669,"IT","IT",0,"S"
"2020","SE","FT","Data Scientist","Data Scientist",412000,"US","US",0,"L"
