"X","Working_Year","Designation","Experience","Employment_Status","Salary_In_Rupees","Employee_Location","Company_Location","Company_Size","Remote_Working_Ratio","DesignationCategory","USDSalary"
1,"2020","Data Scientist","MI","FT","6,352,272.00","DE","DE","L","0","Data Scientist",82579.536
2,"2020","Machine Learning Scientist","SE","FT","20,688,070.00","JP","JP","S","0","ML Engineer",268944.91
3,"2020","Big Data Engineer","SE","FT","8,674,985.00","GB","GB","M","50","Data Engineer",112774.805
4,"2020","Product Data Analyst","MI","FT","1,591,390.00","HN","HN","S","0","Data Analyst",20688.07
5,"2020","Machine Learning Engineer","SE","FT","11,935,425.00","US","US","L","50","ML Engineer",155160.525
6,"2020","Data Analyst","EN","FT","5,729,004.00","US","US","L","100","Data Analyst",74477.052
7,"2020","Lead Data Scientist","SE","FT","15,118,205.00","US","US","S","100","Data Scientist",196536.665
8,"2020","Data Scientist","MI","FT","2,843,416.00","HU","HU","L","50","Data Scientist",36964.408
9,"2020","Business Data Analyst","MI","FT","10,741,883.00","US","US","L","100","Data Analyst",139644.479
10,"2020","Lead Data Engineer","SE","FT","9,946,188.00","NZ","NZ","S","50","Data Engineer",129300.444
11,"2020","Data Scientist","EN","FT","4,083,586.00","FR","FR","S","0","Data Scientist",53086.618
12,"2020","Data Scientist","MI","FT","3,221,053.00","IN","IN","L","0","Data Scientist",41873.689
13,"2020","Data Scientist","EN","FT","3,176,096.00","FR","FR","M","0","Data Scientist",41289.248
14,"2020","Lead Data Analyst","MI","FT","6,922,547.00","US","US","L","100","Data Analyst",89993.111
15,"2020","Data Analyst","MI","FT","6,763,408.00","US","US","L","100","Data Analyst",87924.304
16,"2020","Data Analyst","MI","FT","636,556.00","PK","PK","L","50","Data Analyst",8275.228
17,"2020","Data Engineer","EN","FT","3,317,173.00","JP","JP","S","100","Data Engineer",43123.249
18,"2020","Big Data Engineer","SE","FT","9,074,663.00","PL","GB","S","100","Data Engineer",117970.619
19,"2020","Data Science Consultant","EN","FT","454,103.00","IN","IN","M","50","Data Scientist",5903.339
20,"2020","Lead Data Engineer","MI","FT","4,455,892.00","PT","US","M","100","Data Engineer",57926.596
21,"2020","Machine Learning Engineer","MI","FT","3,447,826.00","CN","CN","M","0","ML Engineer",44821.738
22,"2020","Product Data Analyst","MI","FT","483,146.00","IN","IN","L","100","Data Analyst",6280.898
23,"2020","Data Engineer","SE","FT","3,811,299.00","GR","GR","L","50","Data Engineer",49546.887
24,"2020","BI Data Analyst","MI","FT","7,797,811.00","US","US","M","0","Data Analyst",101371.543
25,"2020","Lead Data Scientist","MI","FT","9,150,493.00","AE","AE","L","0","Data Scientist",118956.409
26,"2020","Director of Data Science","EX","FT","25,860,088.00","US","US","L","100","Data Scientist",336181.144
27,"2020","Research Scientist","EN","FT","3,341,919.00","NL","NL","L","50","AI Engineer",43444.947
28,"2020","Data Engineer","SE","FT","2,666,454.00","MX","MX","S","0","Data Engineer",34663.902
29,"2020","Business Data Analyst","EN","CT","7,956,950.00","US","US","L","100","Data Analyst",103440.35
30,"2020","Machine Learning Manager","SE","FT","9,317,907.00","CA","CA","L","50","ML Engineer",121132.791
31,"2020","Data Engineering Manager","MI","FT","4,718,710.00","DE","DE","S","100","Data Engineer",61343.23
32,"2020","Big Data Engineer","EN","FT","5,569,865.00","US","US","L","100","Data Engineer",72408.245
33,"2020","Data Scientist","SE","FT","5,444,782.00","GR","US","L","100","Data Scientist",70782.166
34,"2020","Research Scientist","MI","FT","35,806,275.00","US","US","M","0","AI Engineer",465481.575
