"work_year","experience_level","employment_type","job_title","job_category","salary_in_usd","employee_residence","company_location","company_size"
"2020","MI","FT","Data Scientist","Data Scientist",79833,"DE","DE","L"
"2020","SE","FT","Machine Learning Scientist","Research Scientist",260000,"JP","JP","S"
"2020","SE","FT","Big Data Engineer","Big Data Engineer",109024,"GB","GB","M"
"2020","MI","FT","Product Data Analyst","Data Analyst",20000,"HN","HN","S"
"2020","SE","FT","Machine Learning Engineer","ML Engineer",150000,"US","US","L"
"2020","EN","FT","Data Analyst","Data Analyst",72000,"US","US","L"
"2020","SE","FT","Lead Data Scientist","Data Scientist",190000,"US","US","S"
"2020","MI","FT","Data Scientist","Data Scientist",35735,"HU","HU","L"
"2020","MI","FT","Business Data Analyst","BI Analyst",135000,"US","US","L"
"2020","SE","FT","Lead Data Engineer","Data Engineer",125000,"NZ","NZ","S"
"2020","EN","FT","Data Scientist","Data Scientist",51321,"FR","FR","S"
"2020","MI","FT","Data Scientist","Data Scientist",40481,"IN","IN","L"
"2020","EN","FT","Data Scientist","Data Scientist",39916,"FR","FR","M"
"2020","MI","FT","Lead Data Analyst","Data Analyst",87000,"US","US","L"
"2020","MI","FT","Data Analyst","Data Analyst",85000,"US","US","L"
"2020","MI","FT","Data Analyst","Data Analyst",8000,"PK","PK","L"
"2020","EN","FT","Data Engineer","Data Engineer",41689,"JP","JP","S"
"2020","SE","FT","Big Data Engineer","Big Data Engineer",114047,"PL","GB","S"
"2020","EN","FT","Data Science Consultant","Data Scientist",5707,"IN","IN","M"
"2020","MI","FT","Lead Data Engineer","Data Engineer",56000,"PT","US","M"
"2020","MI","FT","Machine Learning Engineer","ML Engineer",43331,"CN","CN","M"
"2020","MI","FT","Product Data Analyst","Data Analyst",6072,"IN","IN","L"
"2020","SE","FT","Data Engineer","Data Engineer",47899,"GR","GR","L"
"2020","MI","FT","BI Data Analyst","BI Analyst",98000,"US","US","M"
"2020","MI","FT","Lead Data Scientist","Data Scientist",115000,"AE","AE","L"
"2020","EX","FT","Director of Data Science","Data Scientist",325000,"US","US","L"
"2020","EN","FT","Research Scientist","Research Scientist",42000,"NL","NL","L"
"2020","SE","FT","Data Engineer","Data Engineer",33511,"MX","MX","S"
"2020","EN","CT","Business Data Analyst","BI Analyst",100000,"US","US","L"
"2020","SE","FT","Machine Learning Manager","ML Engineer",117104,"CA","CA","L"
"2020","MI","FT","Data Engineering Manager","Data Engineer",59303,"DE","DE","S"
"2020","EN","FT","Big Data Engineer","Big Data Engineer",70000,"US","US","L"
"2020","SE","FT","Data Scientist","Data Scientist",68428,"GR","US","L"
"2020","MI","FT","Research Scientist","Research Scientist",450000,"US","US","M"
